"task_id","name","is_completed","last_updated"
"1","Creating the meeting link","true","2023-10-15T10:00:00Z"
"1","Planning the meeting","true","2023-10-15T10:30:00Z"
"1","Sharing the meeting link","true","2023-10-15T11:00:00Z"
"1","Doing the meeting","true","2023-10-16T11:30:00Z"
"2","Planning the presentation","true","2023-10-20T10:30:00Z"
"2","Creating the slides","true","2023-10-20T11:00:00Z"
"2","Finalizing the slides","true","2023-10-20T11:30:00Z"
"3","Design the BPMN diagram","true","2023-10-29T10:00:00Z"
"4","Review BPMN with Team","true","2023-11-02T10:00:00Z"
"5","Meet with Stakeholders","true","2024-02-09T10:00:00Z"
"6","Document Compilation","true","2024-02-11T10:00:00Z"
"7","UI Brainstorming","true","2024-02-28T11:30:00Z"
"UI Mockup Iterations","4","2024-03-03T11:00:00Z","2024-03-07T17:00:00Z","Iterate and refine the UI mockups."
"Database Schema Drafting","5","2024-04-10T15:00:00Z","2024-04-15T16:00:00Z","Draft the initial database schema."
"Schema Review and Optimization","5","2024-04-15T15:00:00Z","2024-04-19T17:00:00Z","Review and optimize the database schema."
"Wazuh Introduction Prep","6","2024-01-21T12:00:00Z","2024-01-25T13:00:00Z","Prepare materials for the introduction to Wazuh session."
"Wazuh Q&A Session","6","2024-01-26T12:00:00Z","2024-01-30T17:00:00Z","Host a Q&A session on Wazuh."
"Feature Development Planning","7","2024-03-05T13:00:00Z","2024-03-09T14:00:00Z","Plan the development of new features."
"Initial Feature Development","7","2024-03-10T13:00:00Z","2024-03-14T17:00:00Z","Begin initial development of features."
"Testing Plan Creation","8","2024-04-03T14:00:00Z","2024-04-05T15:00:00Z","Create a comprehensive testing plan."
"Bug Fixing Sprint","8","2024-04-05T14:00:00Z","2024-04-09T17:00:00Z","Conduct a sprint to fix identified bugs."
"Documentation Drafting","9","2024-05-20T11:00:00Z","2024-05-24T12:00:00Z","Draft the initial project documentation."
"Documentation Review and Finalization","9","2024-05-25T11:00:00Z","2024-05-29T17:00:00Z","Review and finalize the project documentation."
"Performance Analysis Setup","10","2024-06-10T16:00:00Z","2024-06-14T17:00:00Z","Set up the environment for performance analysis."
"Optimization Implementation","10","2024-06-15T16:00:00Z","2024-06-19T17:00:00Z","Implement optimization strategies."
"Data Collection Prep Meeting","11","2023-12-05T14:00:00Z","2023-12-07T15:00:00Z","Prepare for data collection activities."
"Data Preprocessing Script Development","11","2023-12-10T14:00:00Z","2023-12-14T17:00:00Z","Develop scripts for data preprocessing."
"Model Training Environment Setup","12","2024-01-10T15:00:00Z","2024-01-12T16:00:00Z","Set up the environment for model training."
"Model Training and Evaluation","12","2024-01-15T15:00:00Z","2024-01-19T17:00:00Z","Train and evaluate the machine learning model."
"Data Analysis Preparation","13","2024-03-01T11:00:00Z","2024-03-03T12:00:00Z","Prepare the necessary tools and datasets for data analysis."
"Conduct Data Analysis","13","2024-03-05T11:00:00Z","2024-03-09T17:00:00Z","Analyze the data to extract meaningful insights."
"Compile Initial Report Draft","14","2024-04-15T09:00:00Z","2024-04-17T10:00:00Z","Draft the initial version of the report."
"Report Review and Revisions","14","2024-04-20T09:00:00Z","2024-04-24T17:00:00Z","Review and revise the report for final submission."